question_text,explanation,category,difficulty,rating_type,answer_1,answer_1_correct,answer_2,answer_2_correct,answer_3,answer_3_correct,answer_4,answer_4_correct
"What action should you take if you suspect carburetor icing during cruise?","Apply full carburetor heat immediately. Expect initial engine roughness as ice melts, then smooth operation once ice is cleared.","Emergency Procedures","EASY","PRIVATE","Apply full carburetor heat","true","Increase RPM immediately","false","Lean the mixture","false","Reduce throttle to idle","false"
"What is the purpose of the altimeter setting?","The altimeter setting adjusts the altimeter to current barometric pressure, ensuring accurate altitude readings relative to mean sea level.","Navigation","EASY","PRIVATE","To correct for local barometric pressure","true","To measure groundspeed","false","To indicate heading","false","To show fuel quantity","false"
"What is the definition of night for logging flight time?","Night is defined as the period from the end of evening civil twilight to the beginning of morning civil twilight.","Regulations","MEDIUM","PRIVATE","End of evening civil twilight to beginning of morning civil twilight","true","Sunset to sunrise","false","30 minutes after sunset to 30 minutes before sunrise","false","One hour after sunset to one hour before sunrise","false"
"What minimum equipment is required for VFR day flight?","The mnemonic ATOMATOFLAMES covers required equipment: Altimeter, Tachometer, Oil pressure/temp, Manifold pressure, Airspeed, Temp gauge, Oil quantity, Fuel gauge, Landing gear indicator, Anti-collision lights, Magnetic compass, ELT, Seatbelts.","Aircraft Systems","HARD","PRIVATE","Altimeter, tachometer, oil gauges, airspeed indicator, magnetic compass","true","Only altimeter and compass","false","Full IFR panel","false","GPS and autopilot","false"
"What is ground effect?","Ground effect is the reduction in induced drag that occurs when flying within one wingspan of the ground, increasing lift and allowing the aircraft to become airborne at a lower-than-normal speed.","Aerodynamics","MEDIUM","PRIVATE","Reduced induced drag near the ground","true","Increased drag near the ground","false","Reduced engine power near the ground","false","Turbulent air near the runway","false"
"What weather phenomenon is associated with a low-pressure system?","Low-pressure systems are associated with rising air, cloud formation, precipitation, and generally poor weather conditions.","Weather","MEDIUM","PRIVATE","Rising air and poor weather conditions","true","Clear skies and stable air","false","High temperatures only","false","Strong surface winds only","false"
"When must position lights be on?","Position lights (navigation lights) are required from sunset to sunrise per FAR 91.209.","Regulations","EASY","PRIVATE","From sunset to sunrise","true","Only in clouds","false","Only during takeoff and landing","false","Only in controlled airspace","false"
"What is the purpose of a holding pattern?","A holding pattern is a racetrack-shaped maneuver used to delay an aircraft while maintaining it within a protected airspace.","Navigation","MEDIUM","INSTRUMENT","To delay aircraft while keeping them in protected airspace","true","To practice turns","false","To descend rapidly","false","To avoid other traffic visually","false"
"What does a flashing green light from the tower mean to an aircraft in flight?","A flashing green light signal to aircraft in flight means the pilot is cleared to land.","Regulations","EASY","PRIVATE","Cleared to land","true","Cleared for takeoff","false","Return for landing","false","Exercise extreme caution","false"
"What is the maximum speed below 10,000 feet MSL?","FAR 91.117 limits airspeed to 250 KIAS below 10,000 feet MSL in controlled airspace.","Regulations","EASY","COMMERCIAL","250 KIAS","true","200 KIAS","false","300 KIAS","false","No speed limit","false"
"What are the symptoms of hypoxia?","Early symptoms include euphoria, impaired judgment, reduced coordination, and cyanosis (blue fingernails). The insidious nature of hypoxia means pilots may not recognize impairment.","Human Factors","MEDIUM","COMMERCIAL","Euphoria, impaired judgment, reduced coordination","true","Sharp pain in the ears","false","Nausea and vomiting only","false","Sudden unconsciousness without warning","false"
"What is the primary cause of induced drag?","Induced drag is caused by the production of lift. Wingtip vortices create downwash, tilting the lift vector backward and creating drag.","Aerodynamics","HARD","COMMERCIAL","Production of lift and wingtip vortices","true","Friction from the fuselage","false","Engine exhaust","false","Propeller rotation","false"
"What is the minimum visibility for a Special VFR clearance?","Special VFR requires at least 1 statute mile flight visibility and the ability to remain clear of clouds.","Regulations","MEDIUM","PRIVATE","1 statute mile and clear of clouds","true","3 statute miles","false","5 statute miles","false","1/2 statute mile","false"
"What is a NOTAM?","A Notice to Air Missions contains time-critical information about temporary changes to the National Airspace System, such as runway closures or temporary flight restrictions.","Regulations","EASY","PRIVATE","Notice of temporary aeronautical information","true","National weather report","false","Aircraft maintenance record","false","Pilot training requirement","false"
"When is an alternate airport required for an IFR flight plan?","An alternate is required when the destination forecast shows ceiling below 2,000 feet or visibility less than 3 statute miles within 1 hour of your ETA (1-2-3 rule).","Regulations","MEDIUM","INSTRUMENT","When destination ceiling is below 2,000 feet or visibility less than 3 miles","true","For all IFR flights","false","Only for flights over 500nm","false","Only at night","false"
